Frequency (Hz)	Level (dB)
7364.355469	-47.151634
7385.888672	-46.025848
7407.421875	-46.542782
7428.955078	-46.147335
7450.488281	-45.307728
7472.021484	-45.946346
7493.554688	-46.872215
7515.087891	-46.816269
7536.621094	-46.816643
7558.154297	-46.920139
7579.687500	-46.584106
7601.220703	-47.346962
7622.753906	-46.740543
7644.287109	-47.670895
7665.820312	-47.225727
7687.353516	-47.602009
7708.886719	-47.186295
7730.419922	-46.607189
7751.953125	-46.424904
7773.486328	-45.999573
7795.019531	-46.642284
7816.552734	-46.325649
7838.085938	-46.697826
7859.619141	-47.520580
7881.152344	-46.944187
7902.685547	-46.115501
7924.218750	-46.966492
7945.751953	-48.274731
7967.285156	-48.215118
7988.818359	-47.649075
8010.351562	-48.057438
8031.884766	-48.222584
8053.417969	-47.349110
8074.951172	-46.153282
8096.484375	-45.959068
8118.017578	-46.469776
8139.550781	-46.697166
8161.083984	-46.803116
8182.617188	-46.722019
8204.150391	-46.710167
8225.683594	-46.649258
8247.216797	-47.325615
8268.750000	-47.655075
8290.283203	-47.472034
8311.816406	-47.208954
8333.349609	-47.041843
8354.882812	-47.559662
8376.416016	-47.605701
8397.949219	-47.564232
8419.482422	-47.203655
8441.015625	-47.023308
8462.548828	-47.144569
8484.082031	-48.588177
8505.615234	-48.517658
8527.148438	-47.378036
8548.681641	-47.584301
8570.214844	-47.104012
8591.748047	-47.551662
8613.281250	-48.936386
8634.814453	-48.160061
8656.347656	-47.596943
8677.880859	-46.737900
8699.414062	-47.354095
8720.947266	-47.567196
8742.480469	-47.837921
8764.013672	-47.663494
8785.546875	-46.749367
8807.080078	-47.434570
8828.613281	-47.625111
8850.146484	-47.272629
8871.679688	-47.348148
8893.212891	-47.335266
8914.746094	-46.926044
8936.279297	-46.726730
8957.812500	-48.531673
8979.345703	-48.108532
9000.878906	-47.667137
9022.412109	-48.208721
9043.945312	-47.778679
9065.478516	-47.244480
9087.011719	-47.411919
9108.544922	-46.955940
9130.078125	-46.967010
9151.611328	-47.560696
9173.144531	-48.133228
9194.677734	-46.990402
9216.210938	-48.277637
9237.744141	-49.584244
9259.277344	-48.467453
9280.810547	-47.570385
9302.343750	-48.127541
9323.876953	-46.860638
9345.410156	-46.360901
9366.943359	-47.905174
9388.476562	-48.435783
9410.009766	-48.441307
9431.542969	-47.630074
9453.076172	-48.049736
9474.609375	-48.077747
9496.142578	-48.690201
9517.675781	-48.446526
9539.208984	-48.233719
9560.742188	-48.636162
9582.275391	-48.745728
9603.808594	-47.752792
9625.341797	-47.716957
9646.875000	-47.834103
9668.408203	-47.288769
9689.941406	-47.011276
9711.474609	-47.035728
9733.007812	-46.520313
9754.541016	-48.083817
9776.074219	-48.523674
9797.607422	-48.019142
9819.140625	-48.104500
9840.673828	-49.416931
9862.207031	-49.502071
9883.740234	-47.420258
9905.273438	-47.722038
9926.806641	-49.364201
9948.339844	-47.647198
9969.873047	-47.864017
9991.406250	-47.980179
10012.939453	-48.039894
10034.472656	-48.080761
10056.005859	-48.250668
10077.539062	-48.184013
10099.072266	-48.697712
10120.605469	-48.078033
10142.138672	-48.714108
10163.671875	-47.683586
10185.205078	-47.595863
10206.738281	-49.034283
10228.271484	-48.992722
10249.804688	-49.011353
10271.337891	-48.350018
10292.871094	-47.958633
10314.404297	-48.558506
10335.937500	-48.570324
10357.470703	-48.499088
10379.003906	-48.838219
10400.537109	-48.526272
10422.070312	-48.172474
10443.603516	-48.703114
10465.136719	-48.401981
10486.669922	-47.767857
10508.203125	-49.030685
10529.736328	-49.185810
10551.269531	-48.459763
10572.802734	-48.272652
10594.335938	-48.991859
10615.869141	-49.124256
10637.402344	-47.385052
10658.935547	-47.768925
10680.468750	-47.759933
10702.001953	-48.468277
10723.535156	-48.260319
10745.068359	-48.039024
10766.601562	-48.436050
10788.134766	-48.188271
10809.667969	-49.301640
10831.201172	-49.505669
10852.734375	-49.515129
10874.267578	-47.587952
10895.800781	-48.194748
10917.333984	-49.704422
10938.867188	-48.262180
10960.400391	-48.104679
10981.933594	-47.860390
11003.466797	-47.829586
11025.000000	-46.893650
11046.533203	-47.237980
11068.066406	-47.102074
11089.599609	-48.232014
11111.132812	-47.845699
11132.666016	-48.159126
11154.199219	-48.916054
11175.732422	-48.967022
11197.265625	-48.526855
11218.798828	-47.683445
11240.332031	-48.743092
11261.865234	-49.613243
11283.398438	-49.064873
11304.931641	-48.635403
11326.464844	-49.293236
11347.998047	-49.265038
11369.531250	-47.930244
11391.064453	-47.745842
11412.597656	-48.776588
11434.130859	-49.197426
11455.664062	-49.111942
11477.197266	-49.918957
11498.730469	-49.424164
11520.263672	-50.535526
11541.796875	-50.080093
11563.330078	-49.004089
11584.863281	-49.611271
11606.396484	-49.751514
11627.929688	-48.737152
11649.462891	-49.828976
11670.996094	-48.962818
11692.529297	-49.746281
11714.062500	-50.039856
11735.595703	-48.634235
11757.128906	-47.477539
11778.662109	-47.915527
11800.195312	-48.168915
11821.728516	-48.251316
11843.261719	-48.843891
11864.794922	-48.680195
11886.328125	-48.008457
11907.861328	-48.675724
11929.394531	-50.002708
11950.927734	-48.985962
11972.460938	-49.001312
11993.994141	-50.307213
12015.527344	-49.945042
12037.060547	-48.945866
12058.593750	-49.217899
12080.126953	-48.370449
12101.660156	-49.036125
12123.193359	-49.044937
12144.726562	-48.396667
12166.259766	-48.196560
12187.792969	-48.147945
12209.326172	-48.563999
12230.859375	-49.040867
12252.392578	-49.317162
12273.925781	-49.845798
12295.458984	-49.021404
12316.992188	-48.936810
12338.525391	-50.635841
12360.058594	-51.007706
12381.591797	-49.305271
12403.125000	-50.026310
12424.658203	-50.509315
12446.191406	-50.382992
12467.724609	-49.432400
12489.257812	-49.669884
12510.791016	-48.328186
12532.324219	-49.181080
12553.857422	-49.289646
12575.390625	-48.859650
12596.923828	-50.015186
12618.457031	-49.678185
12639.990234	-49.296654
12661.523438	-49.338001
12683.056641	-49.412739
12704.589844	-48.794880
12726.123047	-49.193680
12747.656250	-49.355701
12769.189453	-48.499561
12790.722656	-49.293995
12812.255859	-49.286007
12833.789062	-49.199574
12855.322266	-48.603767
12876.855469	-48.528275
12898.388672	-49.775570
12919.921875	-49.429699
12941.455078	-49.223122
12962.988281	-49.172146
12984.521484	-48.766319
13006.054688	-49.622810
13027.587891	-49.537422
13049.121094	-49.539261
13070.654297	-49.402126
13092.187500	-49.446152
13113.720703	-49.652042
13135.253906	-50.791073
13156.787109	-49.465244
13178.320312	-49.526535
13199.853516	-49.355194
13221.386719	-49.571426
13242.919922	-50.314823
13264.453125	-49.982361
13285.986328	-50.589691
13307.519531	-50.312828
13329.052734	-50.015182
13350.585938	-48.955463
13372.119141	-48.541039
13393.652344	-49.381382
13415.185547	-50.192528
13436.718750	-50.982811
13458.251953	-49.885750
13479.785156	-50.753109
13501.318359	-50.665546
13522.851562	-49.155422
13544.384766	-49.017040
13565.917969	-49.617207
13587.451172	-50.328346
13608.984375	-49.852131
13630.517578	-49.442085
13652.050781	-49.943336
13673.583984	-49.355526
13695.117188	-48.705147
13716.650391	-49.121525
13738.183594	-49.029156
13759.716797	-49.836273
13781.250000	-50.045692
13802.783203	-49.420597
13824.316406	-49.272282
13845.849609	-49.689976
13867.382812	-48.934677
13888.916016	-49.399216
13910.449219	-50.580811
13931.982422	-50.108498
13953.515625	-49.803959
13975.048828	-49.859375
13996.582031	-49.230648
14018.115234	-49.402264
14039.648438	-49.048187
14061.181641	-49.993877
14082.714844	-49.934338
14104.248047	-49.735229
14125.781250	-50.387264
14147.314453	-50.042591
14168.847656	-50.122383
14190.380859	-50.121487
14211.914062	-48.916267
14233.447266	-50.022118
14254.980469	-50.445538
14276.513672	-49.836994
14298.046875	-50.531700
14319.580078	-49.682610
14341.113281	-49.388420
14362.646484	-49.713783
14384.179688	-50.377476
14405.712891	-49.611012
14427.246094	-50.354855
14448.779297	-51.793991
14470.312500	-50.863567
14491.845703	-49.850525
14513.378906	-49.541092
14534.912109	-49.846886
14556.445312	-50.290695
14577.978516	-49.280903
14599.511719	-49.234791
14621.044922	-49.461590
14642.578125	-49.003948
14664.111328	-49.726158
14685.644531	-50.939236
14707.177734	-50.272388
14728.710938	-50.636482
14750.244141	-49.994888
14771.777344	-49.629158
14793.310547	-50.192219
14814.843750	-49.218361
14836.376953	-50.826832
14857.910156	-50.478580
14879.443359	-49.197563
14900.976562	-50.272808
14922.509766	-49.438404
14944.042969	-49.786125
14965.576172	-49.187843
14987.109375	-49.778942
15008.642578	-49.200092
15030.175781	-48.654934
15051.708984	-49.204414
15073.242188	-49.998856
15094.775391	-50.914669
15116.308594	-50.297440
15137.841797	-49.684097
15159.375000	-48.867611
15180.908203	-48.758072
15202.441406	-49.055923
15223.974609	-50.014645
15245.507812	-50.842308
15267.041016	-49.750088
15288.574219	-49.535423
15310.107422	-49.215137
15331.640625	-49.694977
15353.173828	-50.415524
15374.707031	-49.807438
15396.240234	-49.658184
15417.773438	-49.657192
15439.306641	-50.058578
15460.839844	-49.587048
15482.373047	-50.285278
15503.906250	-50.383408
15525.439453	-50.771267
15546.972656	-50.535221
15568.505859	-50.605709
15590.039062	-50.864227
15611.572266	-50.253571
15633.105469	-48.959755
15654.638672	-48.563000
15676.171875	-49.635113
15697.705078	-49.183208
15719.238281	-49.276356
15740.771484	-49.907093
15762.304688	-50.457279
15783.837891	-50.321629
15805.371094	-49.323261
15826.904297	-50.078728
15848.437500	-49.601551
15869.970703	-50.363781
15891.503906	-50.509556
15913.037109	-49.793388
15934.570312	-50.422138
15956.103516	-49.930672
15977.636719	-50.252487
15999.169922	-50.471653
16020.703125	-49.838570
16042.236328	-49.384666
16063.769531	-49.840107
16085.302734	-49.886837
16106.835938	-49.835930
16128.369141	-50.246872
16149.902344	-50.629204
16171.435547	-49.397255
16192.968750	-50.037457
16214.501953	-50.939476
16236.035156	-49.447845
16257.568359	-48.812141
16279.101562	-49.425110
16300.634766	-50.682396
16322.167969	-49.928974
16343.701172	-50.172932
16365.234375	-50.107838
16386.767578	-50.592068
16408.300781	-50.955582
16429.833984	-49.701462
16451.367188	-49.074875
16472.900391	-49.587505
16494.433594	-48.828419
16515.966797	-49.815899
16537.500000	-50.100441
16559.033203	-49.369774
16580.566406	-50.275295
16602.099609	-50.995499
16623.632812	-51.509205
16645.166016	-52.149117
16666.699219	-51.333508
16688.232422	-50.152874
16709.765625	-50.191727
16731.298828	-50.730194
16752.832031	-50.681004
16774.365234	-50.057789
16795.898438	-50.389935
16817.431641	-49.535751
16838.964844	-49.512238
16860.498047	-50.334381
16882.031250	-51.065556
16903.564453	-50.223671
16925.097656	-50.231728
16946.630859	-50.702938
16968.164062	-51.011494
16989.697266	-51.373749
17011.230469	-51.875488
17032.763672	-51.541267
17054.296875	-50.311958
17075.830078	-48.610764
17097.363281	-49.567711
17118.896484	-51.130287
17140.429688	-50.910805
17161.962891	-51.953808
17183.496094	-51.437534
17205.029297	-50.363392
17226.562500	-50.151630
17248.095703	-50.070427
17269.628906	-50.653080
17291.162109	-50.033401
17312.695312	-50.250320
17334.228516	-51.503784
17355.761719	-51.338718
17377.294922	-50.026913
17398.828125	-50.723995
17420.361328	-50.525749
17441.894531	-50.797386
17463.427734	-50.400333
17484.960938	-51.223648
17506.494141	-50.173103
17528.027344	-50.825500
17549.560547	-51.156887
17571.093750	-50.239861
17592.626953	-49.499809
17614.160156	-49.495171
17635.693359	-49.871449
17657.226562	-50.896030
17678.759766	-50.059074
17700.292969	-49.697624
17721.826172	-50.478428
17743.359375	-50.797592
17764.892578	-50.778500
17786.425781	-51.813545
17807.958984	-51.973774
17829.492188	-51.148369
17851.025391	-49.660065
17872.558594	-49.093773
17894.091797	-49.416332
17915.625000	-49.685467
17937.158203	-51.793404
17958.691406	-51.156391
17980.224609	-50.791447
18001.757812	-51.407860
18023.291016	-51.790844
18044.824219	-50.146709
18066.357422	-49.550816
18087.890625	-49.553959
18109.423828	-50.378223
18130.957031	-51.329018
18152.490234	-51.790813
18174.023438	-51.580250
18195.556641	-50.646660
18217.089844	-49.836899
18238.623047	-50.254425
18260.156250	-50.962803
18281.689453	-51.241043
18303.222656	-50.461357
18324.755859	-50.241322
18346.289062	-49.202042
18367.822266	-50.097473
18389.355469	-51.368408
18410.888672	-51.085857
18432.421875	-50.999546
18453.955078	-52.125977
18475.488281	-51.377655
18497.021484	-50.263805
18518.554688	-50.126572
18540.087891	-50.986389
18561.621094	-51.483147
18583.154297	-50.982651
18604.687500	-51.464897
18626.220703	-51.068855
18647.753906	-50.016483
18669.287109	-50.049507
18690.820312	-51.329926
18712.353516	-51.031342
18733.886719	-51.007652
18755.419922	-50.388351
18776.953125	-50.159023
18798.486328	-49.930706
18820.019531	-50.448540
18841.552734	-50.667343
18863.085938	-50.494053
18884.619141	-50.650394
18906.152344	-49.976807
18927.685547	-49.975166
18949.218750	-50.051197
18970.751953	-49.869644
18992.285156	-49.904263
19013.818359	-51.307671
19035.351562	-51.581520
19056.884766	-50.983223
19078.417969	-51.575851
19099.951172	-51.587166
19121.484375	-52.793880
19143.017578	-51.568291
19164.550781	-51.484970
19186.083984	-51.376011
19207.617188	-50.092262
19229.150391	-50.649101
19250.683594	-51.215611
19272.216797	-50.730259
19293.750000	-50.554504
19315.283203	-50.235432
19336.816406	-49.776680
19358.349609	-50.469704
19379.882812	-51.350830
19401.416016	-52.206665
19422.949219	-51.790081
19444.482422	-51.278927
19466.015625	-51.787933
19487.548828	-52.018116
19509.082031	-51.721352
19530.615234	-51.711449
19552.148438	-52.645882
19573.681641	-51.288773
19595.214844	-50.725048
19616.748047	-50.575596
19638.281250	-50.532150
19659.814453	-50.843185
19681.347656	-50.937592
19702.880859	-52.432137
19724.414062	-52.069698
19745.947266	-50.559177
19767.480469	-50.809326
19789.013672	-51.132984
19810.546875	-51.954811
19832.080078	-51.533932
19853.613281	-51.555042
19875.146484	-51.844135
19896.679688	-52.196812
19918.212891	-50.538486
19939.746094	-51.451813
19961.279297	-50.940525
19982.812500	-51.204620
20004.345703	-51.413216
20025.878906	-51.543720
20047.412109	-51.331757
20068.945312	-51.327244
20090.478516	-51.162395
20112.011719	-51.275311
20133.544922	-50.568813
20155.078125	-49.438988
20176.611328	-50.155384
20198.144531	-51.608345
20219.677734	-51.755249
20241.210938	-51.217720
20262.744141	-51.087894
20284.277344	-51.566017
20305.810547	-52.528477
20327.343750	-50.836853
20348.876953	-50.303787
20370.410156	-51.451878
20391.943359	-51.215149
20413.476562	-50.638073
20435.009766	-50.822937
20456.542969	-51.338657
20478.076172	-51.758076
20499.609375	-51.942768
20521.142578	-52.632759
20542.675781	-52.497635
20564.208984	-51.061996
20585.742188	-50.255596
20607.275391	-50.636772
20628.808594	-51.230534
20650.341797	-50.378525
20671.875000	-51.334808
20693.408203	-51.882679
20714.941406	-51.351707
20736.474609	-51.894531
20758.007812	-51.959507
20779.541016	-53.067955
20801.074219	-52.497387
20822.607422	-50.363804
20844.140625	-50.885109
20865.673828	-51.669342
20887.207031	-50.891727
20908.740234	-50.748875
20930.273438	-51.095978
20951.806641	-51.498486
20973.339844	-51.733227
20994.873047	-50.916962
21016.406250	-52.030415
21037.939453	-50.917576
21059.472656	-52.135956
21081.005859	-53.234127
21102.539062	-51.726524
21124.072266	-51.014534
21145.605469	-51.139740
21167.138672	-51.001900
21188.671875	-51.381691
21210.205078	-52.858669
21231.738281	-51.857563
21253.271484	-51.878197
21274.804688	-51.200481
21296.337891	-50.848103
21317.871094	-50.955940
21339.404297	-51.536438
21360.937500	-52.017944
21382.470703	-50.777889
21404.003906	-50.790989
21425.537109	-51.492512
21447.070312	-51.656380
21468.603516	-51.367332
21490.136719	-51.731152
21511.669922	-51.290619
21533.203125	-51.777325
21554.736328	-51.837246
21576.269531	-51.896858
21597.802734	-51.671482
21619.335938	-51.991982
21640.869141	-51.028610
21662.402344	-50.858997
21683.935547	-50.824036
21705.468750	-51.551033
21727.001953	-53.151463
21748.535156	-51.161079
21770.068359	-51.977379
21791.601562	-52.262993
21813.134766	-51.288723
21834.667969	-50.925156
21856.201172	-51.001015
21877.734375	-51.689014
21899.267578	-51.427902
21920.800781	-51.401035
21942.333984	-51.407452
21963.867188	-49.834110
21985.400391	-50.530640
22006.933594	-50.712429
22028.466797	-51.691013
